date,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,rollover_amount,prize_pool,sales,next_jackpot
2017-Dec-06,0,1,52,80,2510,2780,47893,29334,0,75959.5,2540.5,2064.1,110.5,86.7,50,20,20392283.74,24265188.24,13964260,2.3e+07
2017-Dec-09,0,2,67,144,2944,3798,48003,39486,0,52474.5,2724.2,1584.4,130.2,87.7,50,20,23723272.1,28145159.5,17228595,2.7e+07
2017-Dec-13,0,1,40,72,2248,2332,38689,24651,0,88447.4,3845.5,2670.5,143.7,120.4,50,20,26530518.86,29996342.66,13940030,3e+07
2017-Dec-16,0,0,51,125,3273,4140,61101,42326,0,0,5184.5,1678.8,107.7,74,50,20,29594313.34,34629004.94,17996775,3.3e+07
2017-Dec-20,0,3,30,91,1789,2911,36936,32189,0,29179.1,5074.6,2091.1,178.7,95.5,50,20,32372675.28,35891015.48,13992345,5e+07
2017-Dec-23,0,0,62,220,3908,6641,76406,66973,0,0,7098.2,1587.6,150.2,76.8,50,20,5e+07,57046130.8,26989600,5.4e+07
2017-Dec-27,0,6,35,98,2239,2900,43058,31166,0,16851.6,5024.2,2243,164.8,110.6,50,20,53209140.23,57172302.5,15938450,5.7e+07
2017-Dec-30,0,2,66,135,3100,4400,63038,51277,0,74137.8,3907.1,2387.7,174.7,107,50,20,57915272.29,63833336.48,23609325,6.3e+07
2018-Jan-03,0,2,40,117,2689,3885,52772,39169,0,61413.5,5340.3,2282.2,166.8,100.3,50,20,61813688.55,66677548.54,19471725,6.6e+07
2018-Jan-06,0,1,89,207,3668,4673,65557,47141,0,143815.1,2810.3,1510.3,143.2,97.7,50,20,66378256.27,72287191.05,23274450,7e+07
2018-Jan-10,0,1,65,196,3050,4317,53530,47199,0,141738.1,3792.3,1572.1,169.8,104.2,50,20,70876902.44,76161265.27,21740020,7.5e+07
2018-Jan-13,0,1,55,157,3179,4738,66793,50922,0,188574.2,5962.8,2611.1,216.6,126.3,50,20,76862082.28,83433868.94,27904370,8.2e+07
2018-Jan-17,0,2,74,165,4041,4303,72223,46161,0,74596.2,3506.3,1965.7,134.8,110.1,50,20,81597316.89,87883075.03,24491095,8.7e+07
2018-Jan-20,0,0,80,180,4030,5707,80203,61846,0,0,7242.1,2554.5,191.7,117.6,50,20,88310679.03,96040773.39,32096570,1e+08
2018-Jan-24,0,5,138,312,6788,8758,128943,93320,0,48794,3074.6,1699.9,131.3,88.4,50,20,96054075.92,107231622,42046540,1.1e+08
2018-Jan-27,4,8,146,446,8844,12928,177909,137556,27500000,44738.1,4263.3,1744.5,147.8,87.9,50,20,0,125848477.9,60461440,3e+06
2018-Jan-31,0,1,45,109,2518,3177,50115,37105,0,111290.7,4301.2,2219.7,161.3,111.1,50,20,3532268.85,8086028.95,17970165,7e+06
2018-Feb-03,0,2,39,137,2906,3965,59169,44322,0,66224.4,5906.3,2101.7,166.5,106,50,20,7736081.71,13135838.11,21341195,1.1e+07
2018-Feb-07,1,1,48,131,2905,3019,43893,33429,11083019.3,105451.5,3820.7,1749.9,132.6,110.9,50,20,0,15184341.4,16551280,3e+06
2018-Feb-10,0,2,34,122,2541,3203,50946,36476,0,60265.6,6165.3,2147.8,173.2,119.4,50,20,3825555.86,8517098.26,18927350,7e+06
2018-Feb-14,1,0,38,108,1598,2665,34067,29226,6606515.1,0,6315.8,1763.6,200.3,104.4,50,20,0,9923159.7,13549785,3e+06
